Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2023-100001,2024-10-06,2024-10-11,Standard Class,SO-10919,Charles Fernandez,Home Office,United States,New Jamesfurt,86378,East,FUR-FU-100074,Furniture,Chairs,Chase Ltd Chairs,432.79,5,0.4,76.67
2,CA-2023-100002,2024-06-17,2024-06-24,First Class,SO-10854,Cheryl Perkins,Corporate,United States,East Matthewfurt,98976,East,TEC-PH-100016,Office Supplies,Labels,Rios Group Labels,453.49,1,0.23,86.49
3,CA-2023-100003,2024-11-03,2024-11-07,First Class,CG-10704,Amanda Solis,Consumer,United States,Wallacestad,39965,South,TEC-BI-100026,Furniture,Chairs,"Olson, Bradley and Contreras Chairs",742.26,1,0.25,54.95
4,CA-2023-100004,2024-07-26,2024-07-28,Same Day,IM-10856,Paul Chapman,Consumer,United States,Port Makayla,79089,South,OFF-PA-100086,Technology,Phones,"Alexander, Kim and Miller Phones",402.69,5,0.36,43.58
5,CA-2023-100005,2024-09-26,2024-09-29,Same Day,BW-10700,Bryan Bernard,Consumer,United States,South Nicholasside,91645,Central,FUR-FU-100094,Office Supplies,Storage,Ward and Sons Storage,933.66,4,0.29,154.61
6,CA-2023-100006,2024-02-27,2024-03-01,Second Class,PW-10288,Nicole Miller,Consumer,United States,West Benjamin,66763,Central,TEC-AP-100021,Technology,Copiers,Hurley-Patterson Copiers,216.22,5,0.41,36.65
7,CA-2023-100007,2024-07-03,2024-07-05,Second Class,AS-10113,Felicia Logan,Home Office,United States,West Cherylville,62531,West,TEC-PA-100027,Furniture,Bookcases,Hanna-Pham Bookcases,305.23,5,0.1,20.84
8,CA-2023-100008,2024-03-30,2024-03-31,Second Class,AS-10201,Peter Kim,Home Office,United States,East Stacy,83402,Central,FUR-TA-100043,Technology,Accessories,Townsend-Bennett Accessories,118.14,2,0.43,17.2
9,CA-2023-100009,2024-08-12,2024-08-18,Same Day,PW-10036,Heather Wood,Home Office,United States,Lake Rhondaview,38934,East,FUR-EN-100038,Technology,Machines,Salazar Group Machines,991.01,3,0.15,163.21
10,CA-2023-100010,2024-11-22,2024-11-24,First Class,KT-10235,Sandra Kennedy,Home Office,United States,West Charlenechester,15727,Central,OFF-PH-100090,Office Supplies,Paper,Mayer and Sons Paper,73.14,1,0.1,8.39
11,CA-2023-100011,2024-07-15,2024-07-22,Same Day,DV-10732,Marie Miller,Corporate,United States,Cochranchester,73754,West,OFF-TA-100039,Office Supplies,Labels,Miller PLC Labels,834.28,4,0.41,33.51
12,CA-2023-100012,2024-04-24,2024-04-27,Same Day,BW-10162,Mark Berry,Home Office,United States,South Kendraview,38960,South,FUR-CO-100014,Technology,Phones,Brady and Sons Phones,560.15,5,0.25,106.3
13,CA-2023-100013,2024-06-12,2024-06-14,First Class,IM-10969,Elizabeth Chan,Consumer,United States,New Jamie,61721,South,TEC-CH-100097,Office Supplies,Paper,Hernandez-Davis Paper,104.8,3,0.36,12.76
14,CA-2023-100014,2024-10-16,2024-10-17,First Class,AS-10205,Brandon Hancock,Home Office,United States,Cohenfort,85307,South,TEC-CH-100089,Technology,Phones,Alvarado-Reeves Phones,914.25,3,0.35,154.69
15,CA-2023-100015,2024-11-23,2024-11-28,Second Class,CG-10419,Jared Ramsey,Corporate,United States,Deniseville,71347,East,FUR-PA-100051,Technology,Accessories,Williams Ltd Accessories,519.42,1,0.15,120.74
16,CA-2023-100016,2024-07-01,2024-07-04,Second Class,BW-10324,Robin Sandoval DVM,Home Office,United States,West Michael,05271,Central,OFF-TA-100024,Furniture,Tables,Stanton Group Tables,871.43,2,0.14,147.3
17,CA-2023-100017,2024-04-13,2024-04-20,Standard Class,SO-10235,Derek Olson,Home Office,United States,North Briannaside,67404,South,OFF-AP-100032,Furniture,Chairs,Cox-Smith Chairs,103.72,2,0.11,18.69
18,CA-2023-100018,2024-04-19,2024-04-26,Same Day,SD-10769,Chloe Cherry,Consumer,United States,South Jose,59570,Central,FUR-PA-100080,Office Supplies,Labels,"Stuart, Walker and Stevens Labels",641.4,2,0.2,108.62
19,CA-2023-100019,2024-09-15,2024-09-16,First Class,BW-10369,Paul Lopez,Consumer,United States,Hillview,69621,East,OFF-EN-100019,Technology,Phones,Cervantes Ltd Phones,363.8,1,0.07,53.97
20,CA-2023-100020,2024-08-29,2024-09-03,First Class,PW-10269,Brooke Carroll,Home Office,United States,North Peter,98342,West,OFF-BI-100058,Technology,Phones,Burnett Ltd Phones,608.94,2,0.18,102.6
21,CA-2023-100021,2024-09-03,2024-09-05,Same Day,BW-10737,Joseph Davis,Corporate,United States,East Anthony,85130,South,TEC-AP-100052,Office Supplies,Labels,Ray-Hudson Labels,702.85,4,0.39,43.66
22,CA-2023-100022,2024-04-14,2024-04-21,First Class,PW-10725,Angel Harrison,Corporate,United States,West Jeremy,98596,Central,TEC-FU-100057,Furniture,Furnishings,Jackson-Hart Furnishings,777.72,3,0.2,101.05
23,CA-2023-100023,2025-01-22,2025-01-23,Same Day,DV-10547,Nancy Roberts,Corporate,United States,East April,31713,West,TEC-PA-100075,Office Supplies,Paper,Gallagher Ltd Paper,136.96,2,0.01,29.97
24,CA-2023-100024,2024-03-10,2024-03-17,Second Class,BW-10378,Mckenzie Thomas,Home Office,United States,North Anna,08156,East,FUR-BI-100050,Furniture,Bookcases,Aguirre-Rodriguez Bookcases,484.43,4,0.01,71.19
25,CA-2023-100025,2024-03-05,2024-03-09,Same Day,SO-10929,Ryan Reese,Consumer,United States,Angelaport,06474,South,FUR-AP-100023,Technology,Phones,Taylor-Barnett Phones,332.13,3,0.27,58.75
26,CA-2023-100026,2024-07-19,2024-07-22,Second Class,SD-10047,Arthur Clay,Home Office,United States,Dayport,07276,West,TEC-PH-100053,Furniture,Bookcases,Williams-Jones Bookcases,548.52,2,0.12,78.07
27,CA-2023-100027,2024-07-04,2024-07-06,Second Class,KT-10913,Vanessa Brennan,Corporate,United States,North Daleburgh,95464,West,TEC-CO-100079,Office Supplies,Storage,Anderson LLC Storage,814.32,2,0.34,31.88
28,CA-2023-100028,2024-03-30,2024-03-31,First Class,SO-10610,Steven Andrews,Consumer,United States,Maryview,55264,East,TEC-ST-100035,Office Supplies,Storage,Le PLC Storage,200.01,1,0.26,33.2
29,CA-2023-100029,2024-09-05,2024-09-12,Second Class,CG-10657,Derrick Dawson,Consumer,United States,Spencechester,90922,East,FUR-TA-100076,Office Supplies,Binders,Carter-Taylor Binders,370.99,4,0.34,43.69
30,CA-2023-100030,2024-10-18,2024-10-25,Second Class,AS-10041,Aaron Turner,Consumer,United States,New Codyview,30275,Central,FUR-CO-100080,Office Supplies,Storage,"Gomez, Shaw and Mcdonald Storage",485.58,3,0.42,16.65
31,CA-2023-100031,2024-07-06,2024-07-12,First Class,AS-10676,Arthur Barker,Corporate,United States,Martinchester,51931,East,FUR-EN-100077,Furniture,Chairs,Kim-Daniels Chairs,846.2,1,0.3,71.77
32,CA-2023-100032,2024-06-14,2024-06-18,Same Day,CG-10788,Christopher Fernandez,Home Office,United States,West John,79224,South,TEC-PH-100045,Technology,Phones,Rivera-Foley Phones,610.31,5,0.08,117.04
33,CA-2023-100033,2024-07-18,2024-07-25,Second Class,IM-10518,Craig Benson,Corporate,United States,Port Phillip,97372,Central,FUR-AP-100064,Office Supplies,Storage,Diaz-Cooper Storage,898.54,4,0.47,100.28
34,CA-2023-100034,2024-10-26,2024-10-28,Standard Class,CG-10194,Sherry Gonzalez DDS,Home Office,United States,Nicoleport,94867,South,OFF-PA-100032,Technology,Accessories,Patterson-Brown Accessories,153.36,2,0.45,14.04
35,CA-2023-100035,2024-06-19,2024-06-24,Same Day,SO-10377,Patricia Jones,Consumer,United States,Valenzuelaborough,74676,Central,OFF-ST-100071,Technology,Phones,"Sanders, Charles and Marshall Phones",642.95,5,0.2,46.13
36,CA-2023-100036,2025-01-04,2025-01-10,First Class,KT-10988,Shaun Mccarthy,Corporate,United States,Maryville,15233,Central,TEC-BI-100088,Office Supplies,Storage,Woods-Arnold Storage,793.27,1,0.02,220.8
37,CA-2023-100037,2024-07-27,2024-07-31,Standard Class,KT-10024,Jeffery Duran,Corporate,United States,North Jacobmouth,63186,East,OFF-ST-100015,Technology,Accessories,Prince Group Accessories,148.46,5,0.24,8.7
38,CA-2023-100038,2024-11-13,2024-11-16,Standard Class,BW-10459,Danny Obrien,Corporate,United States,Lake Stephen,00884,East,FUR-PA-100093,Technology,Copiers,Bates-Flowers Copiers,871.94,2,0.06,52.73
39,CA-2023-100039,2024-03-20,2024-03-21,Same Day,CG-10897,Sara Bird,Corporate,United States,Jodiville,47428,Central,OFF-FU-100074,Furniture,Tables,Sherman-Hickman Tables,561.93,2,0.14,122.51
40,CA-2023-100040,2024-07-31,2024-08-05,Same Day,BW-10596,Joseph Miller,Home Office,United States,Stevenside,66920,South,TEC-AP-100048,Furniture,Chairs,Hernandez-Pacheco Chairs,636.78,3,0.01,111.29
41,CA-2023-100041,2025-01-20,2025-01-23,Second Class,SO-10133,Matthew Dudley,Home Office,United States,Thomasbury,76676,South,OFF-TA-100020,Furniture,Tables,"Smith, Bradford and Summers Tables",277.11,1,0.1,73.53
42,CA-2023-100042,2024-04-02,2024-04-07,Second Class,PW-10621,Joseph Anthony,Home Office,United States,Port Francisco,30323,East,FUR-CO-100077,Furniture,Furnishings,Bernard Group Furnishings,465.41,2,0.21,35.9
43,CA-2023-100043,2024-05-21,2024-05-22,Same Day,AS-10270,Krystal Beard,Corporate,United States,Port Jimmyside,08320,West,FUR-BI-100062,Furniture,Furnishings,Holt-Rogers Furnishings,425.04,3,0.16,48.33
44,CA-2023-100044,2024-08-08,2024-08-11,Second Class,AS-10444,Richard Ortiz,Home Office,United States,Fernandezchester,02916,South,FUR-TA-100012,Furniture,Bookcases,"Alvarado, Elliott and Hunter Bookcases",151.01,1,0.33,10.5
45,CA-2023-100045,2024-12-02,2024-12-04,Same Day,KT-10024,John Powell,Consumer,United States,Laurafort,26923,South,OFF-FU-100049,Technology,Accessories,Bullock-Bishop Accessories,993.99,1,0.41,134.12
46,CA-2023-100046,2024-04-15,2024-04-19,Same Day,HP-10460,Christopher Long,Home Office,United States,South Monica,29769,South,FUR-TA-100092,Office Supplies,Binders,"Hawkins, Simon and Rich Binders",215.19,4,0.01,52.09
47,CA-2023-100047,2024-06-10,2024-06-16,Second Class,CG-10879,Daniel Ramsey,Corporate,United States,Justinville,54131,East,TEC-ST-100022,Technology,Accessories,"Smith, Ochoa and Mack Accessories",879.16,5,0.47,43.96
48,CA-2023-100048,2025-01-15,2025-01-16,Same Day,AS-10335,Savannah Mueller,Consumer,United States,Port Alexis,33935,Central,TEC-CO-100081,Furniture,Tables,"Hernandez, Campbell and Hall Tables",444.81,2,0.16,20.0
49,CA-2023-100049,2025-02-16,2025-02-20,Same Day,HP-10045,Shane Boyer,Consumer,United States,Grahammouth,00990,West,OFF-CO-100087,Furniture,Chairs,Jordan Group Chairs,238.28,5,0.49,34.91
50,CA-2023-100050,2024-10-21,2024-10-25,Same Day,SD-10712,Robert Berg,Consumer,United States,Kleinton,30758,South,TEC-CH-100058,Office Supplies,Storage,Reese Ltd Storage,677.24,2,0.02,138.46
51,CA-2023-100051,2024-12-21,2024-12-23,Standard Class,BW-10232,Latoya Sanders,Home Office,United States,Johnnyberg,94150,East,OFF-AP-100062,Technology,Machines,Bruce LLC Machines,415.76,5,0.42,16.19
52,CA-2023-100052,2024-10-23,2024-10-27,Second Class,KT-10078,Cody Anderson,Consumer,United States,Lopezville,55199,Central,TEC-EN-100043,Technology,Accessories,Shaw and Sons Accessories,418.44,2,0.36,58.17
53,CA-2023-100053,2024-05-31,2024-06-03,Same Day,AS-10378,Antonio Moreno,Consumer,United States,Jacksonfurt,05656,Central,TEC-EN-100010,Technology,Copiers,Stevenson-Hoover Copiers,171.16,5,0.28,25.85
54,CA-2023-100054,2025-01-21,2025-01-28,Second Class,PW-10905,Ashley Bishop,Corporate,United States,Port Scottmouth,04696,Central,TEC-ST-100077,Furniture,Furnishings,"Martinez, Oneal and Cortez Furnishings",79.52,5,0.21,13.14
55,CA-2023-100055,2025-01-13,2025-01-17,Same Day,KT-10353,Kristin Hammond,Home Office,United States,East Bethany,83104,South,FUR-TA-100016,Technology,Accessories,"Crawford, Alvarez and Arnold Accessories",777.56,4,0.14,155.92
56,CA-2023-100056,2024-12-28,2024-12-31,Same Day,BW-10206,Sara Padilla,Consumer,United States,Ryanburgh,61010,South,TEC-CO-100091,Furniture,Bookcases,Flores-Austin Bookcases,134.73,5,0.09,29.36
57,CA-2023-100057,2024-04-13,2024-04-18,First Class,HP-10223,Robert Moore,Consumer,United States,Lake Sierra,37933,West,FUR-AP-100017,Technology,Accessories,"Vasquez, Brown and Green Accessories",69.08,5,0.1,11.1
58,CA-2023-100058,2025-02-16,2025-02-20,First Class,CG-10250,Mr. Matthew Jackson,Corporate,United States,Karenfort,51275,Central,FUR-PA-100016,Office Supplies,Storage,Waters Ltd Storage,990.28,3,0.13,182.11
59,CA-2023-100059,2024-09-19,2024-09-24,First Class,HP-10694,Robert Johnson,Corporate,United States,West Courtneyburgh,65654,Central,FUR-PA-100010,Technology,Phones,Dixon Ltd Phones,587.5,4,0.14,90.02
60,CA-2023-100060,2025-02-19,2025-02-21,First Class,CG-10035,Andrea Shannon,Corporate,United States,Amandaland,44126,East,TEC-EN-100054,Furniture,Furnishings,Adams-Reynolds Furnishings,361.52,4,0.26,65.08
61,CA-2023-100061,2024-10-13,2024-10-17,Second Class,IM-10935,Donna Smith,Home Office,United States,Deannafort,87874,West,TEC-ST-100092,Furniture,Chairs,"Mendez, Russell and Martinez Chairs",616.03,1,0.08,133.21
62,CA-2023-100062,2025-01-12,2025-01-19,First Class,SD-10049,Robert Howard,Consumer,United States,Scottburgh,39302,West,FUR-FU-100022,Office Supplies,Labels,Martin-Butler Labels,99.39,4,0.32,14.33
63,CA-2023-100063,2024-09-19,2024-09-24,Second Class,BW-10564,Anna Hunter,Home Office,United States,Lopezville,10425,South,TEC-ST-100037,Technology,Accessories,Acosta Ltd Accessories,844.29,5,0.47,40.01
64,CA-2023-100064,2024-04-28,2024-05-04,Same Day,PW-10193,Richard Lopez,Consumer,United States,Port Jacquelineton,91224,West,FUR-CO-100030,Office Supplies,Binders,"Hoffman, Valencia and Anderson Binders",918.22,2,0.46,75.55
65,CA-2023-100065,2024-12-14,2024-12-18,Standard Class,IM-10161,Cheryl Duran,Corporate,United States,Tracyborough,91155,West,FUR-ST-100026,Technology,Accessories,Gilbert-Newman Accessories,704.55,1,0.18,84.82
66,CA-2023-100066,2024-03-24,2024-03-25,Second Class,BW-10110,Ryan Clark,Corporate,United States,Davidshire,43743,South,TEC-CO-100048,Office Supplies,Paper,Hansen Group Paper,20.51,3,0.42,1.54
67,CA-2023-100067,2024-11-05,2024-11-09,Second Class,CG-10346,Robin Clements,Home Office,United States,West Kellystad,09151,Central,TEC-TA-100042,Office Supplies,Paper,Williamson-Maxwell Paper,134.65,3,0.13,34.94
68,CA-2023-100068,2024-07-29,2024-08-02,First Class,PW-10757,Eric Merritt,Corporate,United States,Daniellemouth,16916,East,TEC-AP-100062,Technology,Machines,Collins-Neal Machines,934.13,1,0.25,97.97
69,CA-2023-100069,2024-03-08,2024-03-14,Second Class,DV-10849,Matthew Gay,Consumer,United States,East Gabrielle,58775,Central,FUR-EN-100043,Office Supplies,Labels,Baker Ltd Labels,174.66,4,0.24,21.99
70,CA-2023-100070,2024-09-08,2024-09-09,Same Day,CG-10148,Amanda Hayes,Home Office,United States,Smithborough,69498,West,FUR-TA-100084,Office Supplies,Binders,Castro LLC Binders,306.36,4,0.43,21.9
71,CA-2023-100071,2024-05-16,2024-05-23,Second Class,SO-10054,Jorge Warner,Home Office,United States,South William,43104,South,FUR-BI-100031,Furniture,Tables,Williams-Thomas Tables,941.14,5,0.24,98.6
72,CA-2023-100072,2024-09-16,2024-09-19,Same Day,KT-10408,Dennis Hill,Consumer,United States,South Karen,30129,Central,FUR-TA-100060,Furniture,Tables,"Bridges, Bates and Jacobson Tables",949.77,2,0.02,220.51
73,CA-2023-100073,2025-01-06,2025-01-11,Standard Class,HP-10973,Julie Gray,Home Office,United States,East Abigailhaven,04819,East,FUR-PA-100090,Technology,Machines,"Hobbs, Cross and Sanchez Machines",682.65,5,0.38,104.83
74,CA-2023-100074,2025-02-09,2025-02-15,First Class,BW-10627,Deanna Conley,Corporate,United States,West Christopherview,78739,West,OFF-PA-100046,Technology,Accessories,"Davis, Flores and Becker Accessories",375.28,5,0.38,31.18
75,CA-2023-100075,2024-12-21,2024-12-22,Second Class,IM-10269,Karen Ramirez,Corporate,United States,Port Alexisfort,55778,East,OFF-PA-100061,Technology,Accessories,English and Sons Accessories,633.07,4,0.38,46.97
76,CA-2023-100076,2025-02-03,2025-02-06,First Class,SD-10867,Derrick Robinson,Corporate,United States,North Russell,31160,Central,TEC-CH-100016,Furniture,Tables,Ferguson Ltd Tables,899.99,5,0.2,156.33
77,CA-2023-100077,2024-12-27,2024-12-31,Second Class,CG-10888,Craig Flowers,Home Office,United States,South Tinafort,35243,Central,FUR-FU-100048,Technology,Machines,"Shaffer, Robinson and Lara Machines",820.56,3,0.07,51.32
78,CA-2023-100078,2024-09-19,2024-09-20,Second Class,SO-10673,Kara Smith,Consumer,United States,Lake Connie,79117,East,OFF-PH-100088,Technology,Machines,Clayton-Moran Machines,590.58,1,0.36,29.64
79,CA-2023-100079,2024-12-11,2024-12-15,Second Class,HP-10371,Darlene Miller,Corporate,United States,Rogersbury,67111,Central,FUR-EN-100015,Office Supplies,Storage,"Zuniga, Rodgers and Santos Storage",267.72,5,0.04,22.24
80,CA-2023-100080,2024-07-02,2024-07-05,Same Day,KT-10567,Rebecca Martinez,Home Office,United States,New Dianaview,13672,East,TEC-ST-100029,Furniture,Tables,Russell LLC Tables,378.27,1,0.34,29.77
81,CA-2023-100081,2024-05-28,2024-06-04,Same Day,KT-10561,William Noble,Corporate,United States,North Richard,15563,East,OFF-FU-100053,Technology,Copiers,Gates-Miller Copiers,532.92,3,0.21,63.21
